observation	OBS/SRAEUGS
observe	OB/SEFRB
character	KARBG/TER
characteristic	KARBG/TER/ST-BG
trajectory	TRA/SKWREBGT/KWROER
parameter	PA*R/PHAOERT
parameterized	PRAPL/TRAOEUZD
agents	AEUPBLGTS
individual	EUPBD/SREUD/WAL
verify	SRER/TPAOEU
also	HR-S
obstacle	OB/STA/K-L
affect	TPAEBGT
effect	TPEBGT
relationship	RELGS/SH*EUP
analyse	APB/HRAOEUS
analysis	A/TPHAL/SEUS
Wiktionary	#WEUBGS/KWRAER
Wikipedia	#WEUBG/PAOED/KWRA
simulation	SPHRAEUGS
identify	AOEUTD/TPAOEU
between	TWAOEPB
area	AEUR/KWRA
naive	TPHAOEU/KWRAOEF
change	KHAEUPBG
accordingly	K-LD
distribution	TKEUS/TREU/PWAOUGS
column	KO/HRUPL
aggressive	A/TKPWRE/SEUF
