abroad	A/PWRAOD
aground	A/TKPWROUPBD
alike	A/HRAOEUBG
alone	A/HROEPB
alongside	HRAOPBG/SAO*EUD
aloud	A/HROUD
apart	A/PART
applications	AP/KAEUGSZ
ashore	A/SHOR
aside	A/SAOEUD
backward	PWABG/WA*RD
backwards	PWABG/WA*RDZ
betwixt	PWE/TWEUGT
clearer	KHRAOER/*ER
clockwise	KHROBG/WAO*EUS
doubtless	TKOUT/-LS
downhill	TKOUPB/H*EUL
downstairs	TKOUPB/STA*EURZ
downwards	TKOUPB/WARDZ
elsewhere	ELS/W*R
evermore	-FR/PHO*R
foremost	TPOR/PHOEFT
henceforth	HEPBS/TPO*RT
hereafter	HAOER/A*F
hereof	HAOER/O*F
heretofore	HAOER/TO*/TPO*ER
hitherto	H*EUT/TO*
howsoever	HOU/SOFR
indoors	EUPB/TKAORZ
infra	EUPB/TPRA*
inland	EUPB/HRAPBD
inward	EUPB/WARD
likewise	HRAOEUBG/WAO*EUS
meanwhile	PHAOEPB/WHAO*EUL
midway	PHEUD/WAEU
mighty	PHAOEUT/KWREU
nevermore	TPHEFR/PHO*R
nonstop	TPHOPB/STOP
notwithstanding	TPHOT/W*/STAPBGD
nowadays	TPHOU/TKA*EUZ
offshore	OF/SHOR
oftener	OFPB/*ER
online	OPB/HRAOEUPB
onwards	OPB/WARDZ
opposite	OP/SEUT
overhead	OEFR/HED
overnight	OEFR/TPHAOEUT
overseas	OEFR/SAES
parallel	PA*R/HREL
seldom	SEL/TKOPL
sidelong	SAOEUD/HRO*PBG
so-so	SOE/SOE
solo	SOE/HROE
synonyms	SEUPB/TPHEUPLZ
thereafter	THR/A*F
underground	URPBD/TKPWROUPBD
underneath	URPBD/TPHAO*ET
underway	URPBD/WAEU
upbeat	UP/PWA*ET
upright	UP/RAO*EUT
upstairs	UP/STA*EURZ
upstate	UP/STA*EUT
upstream	UP/STRAO*EPL
upwards	UP/WA*RDZ
westward	WEFT/WA*RD
wherefore	W-R/TPO*ER
wholesale	WHOEL/SA*EL
worldwide	WORLD/WAO*EUD
zigzag	STKPWEUG/STKPWAG
